GP_Practice_Code,NumberCTAngiography
A81006,1
A81007,1
A81011,1
A81013,1
A81017,1
A81022,1
A81039,1
A81044,1
A81046,1
A81052,1
A81054,1
A81070,1
A82005,1
A82010,2
A82016,1
A82026,1
A82032,1
A82062,1
A83003,1
A83010,1
A83012,1
A83016,1
A83018,1
A83020,1
A83025,1
A83036,1
A83044,1
A84009,1
A84013,1
A84036,2
A84044,1
A84045,1
A85004,1
A85005,1
A85008,1
A85010,1
A85020,1
A86003,1
A86017,1
A86025,1
A86031,1
A86040,1
A87004,1
A87005,1
A87009,1
A87020,1
A88002,2
A88008,1
A89004,1
A89008,1
A89019,2
A91022,1
B81023,1
B81027,1
B81039,1
B81112,1
B81118,1
B82031,1
B82060,1
B82088,1
B82106,1
B83042,1
B83067,1
B84012,1
B84623,1
B85006,1
B85008,1
B85009,1
B85021,1
B85028,1
B85041,1
B85619,1
B85646,1
B86004,1
B86006,1
B86022,1
B86033,1
B86038,1
B86039,1
B86044,2
B86057,1
B86064,1
B86071,1
B86093,1
B86106,1
B86678,1
B87004,1
B87011,1
B87025,1
B87027,2
B87028,1
C81029,1
C81053,1
C81068,3
C81074,1
C82005,1
C82017,1
C82024,1
C82029,1
C82041,1
C82053,1
C82054,1
C82056,1
C82080,1
C82093,1
C82097,1
C82121,1
C82662,1
C83008,1
C83018,2
C83026,1
C83028,1
C83033,1
C83042,1
C83051,1
C83054,1
C83061,1
C83064,2
C84017,1
C84020,1
C84024,2
C84029,1
C84037,1
C84045,1
C84066,1
C84084,1
C84094,1
C85010,1
C85018,1
C86007,1
C86019,1
C86020,1
C86025,1
C86026,1
C86033,1
C87017,1
C87604,1
C87616,1
C88010,1
C88062,1
C88087,1
C88090,1
D81013,1
D81026,1
D81034,1
D81035,1
D81038,1
D81042,1
D81043,1
D81046,1
D81049,1
D81062,2
D81606,1
D81631,1
D81637,1
D82009,1
D82017,1
D82019,1
D82020,1
D82024,1
D82025,1
D82027,1
D82044,1
D82058,1
D82070,1
D82087,1
D82100,1
D83001,1
D83002,1
D83012,2
D83021,1
D83051,1
D83055,1
D83056,2
D83059,1
D83060,1
D83610,2
E81003,6
E81005,1
E81008,1
E81009,1
E81013,1
E81015,1
