Gp_Practice_Code,CardiOPAttend
25205,1
49074,4
5J536,1
5NE70,1
5QQ1M,2
5QQ1R,1
5QQ1V,1
5QQ1W,1
A00226,1
A00228,1
A00234,1
A81001,56
A81002,207
A81003,2
A81004,269
A81005,217
A81006,154
A81007,110
A81009,126
A81011,165
A81012,86
A81013,170
A81014,39
A81015,5
A81016,197
A81017,197
A81018,252
A81019,202
A81020,225
A81021,322
A81022,231
A81023,111
A81025,50
A81026,399
A81027,198
A81029,82
A81030,350
A81031,169
A81032,302
A81033,2
A81034,246
A81035,205
A81036,202
A81037,107
A81038,60
A81039,140
A81040,109
A81041,79
A81042,313
A81043,227
A81044,229
A81045,162
A81046,156
A81048,190
A81049,158
A81051,173
A81052,255
A81053,127
A81054,199
A81056,24
A81057,133
A81058,196
A81060,59
A81063,36
A81064,90
A81065,75
A81066,69
A81067,114
A81070,65
A81602,23
A81605,1
A81608,82
A81610,81
A81611,164
A81612,49
A81618,224
A81621,48
A81622,65
A81629,35
A81630,12
A81631,77
A81633,18
A81634,19
A82003,255
A82004,84
A82005,141
A82006,113
A82007,206
A82008,213
A82009,204
A82010,128
A82012,548
A82013,181
A82014,153
A82015,109
A82016,768
A82017,2
A82018,299
A82019,164
A82020,412
A82021,400
A82022,157
A82023,130
A82024,142
A82025,217
A82026,323
A82027,191
A82028,198
A82029,105
A82030,133
A82031,82
A82032,285
A82033,207
A82035,330
A82036,204
A82037,103
A82038,109
A82039,164
A82040,1
A82041,241
A82042,2
A82044,477
A82045,252
A82046,66
A82047,571
A82048,17
A82049,13
A82050,20
A82052,1
A82053,226
A82055,210
A82057,3
A82058,94
A82060,2
A82062,100
A82064,122
A82068,85
A82070,114
A82071,78
A82072,120
A82075,152
A82077,85
A82608,76
A82613,27
A82614,1
A82617,77
A82620,17
A82623,15
A82629,49
A82631,108
A82635,2
A82646,105
A82647,74
A82650,85
A82651,92
A82654,180
A83001,240
A83003,171
A83004,1
A83005,174
A83006,119
A83007,134
A83008,93
A83009,153
A83010,277
A83011,302
A83012,178
A83013,163
A83014,128
A83015,248
A83016,240
A83017,5
A83018,308
A83019,5
A83020,269
A83021,258
A83022,402
A83023,206
A83024,102
A83025,285
A83026,206
A83027,143
A83028,181
A83029,156
A83030,249
A83031,221
A83032,55
A83033,172
A83034,144
A83035,138
A83036,212
A83037,298
A83038,100
A83040,147
A83041,108
A83042,2
A83043,65
A83044,90
A83045,246
A83046,206
A83047,261
A83048,99
A83049,352
A83050,252
A83051,175
A83052,183
A83054,219
A83055,98
A83057,248
A83060,85
A83061,56
A83066,174
A83070,100
A83071,48
A83072,114
A83073,108
A83074,230
A83075,100
A83603,2
A83610,52
A83616,101
A83617,30
A83618,132
A83619,44
A83622,33
A83626,41
A83627,104
A83630,3
A83632,7
A83634,45
A83635,47
A83636,144
A83637,62
A83641,50
A83644,63
A84002,399
A84003,3
A84005,755
A84006,1069
A84007,635
A84008,282
A84009,1347
A84011,588
A84013,463
A84014,867
A84016,264
A84018,550
A84020,671
A84021,1
A84022,855
A84024,551
A84025,268
A84026,436
A84027,185
A84028,1405
A84029,323
A84030,593
A84031,876
A84032,27
A84033,426
A84034,469
A84035,364
A84036,3683
A84037,487
A84038,551
A84039,452
A84040,237
A84042,172
A84044,570
A84045,368
A84047,389
A84048,1
A84604,267
A84609,29
A84614,119
A84619,245
A85001,140
A85002,63
A85003,77
A85004,174
A85005,209
A85006,156
A85007,270
A85008,584
A85009,80
A85010,201
A85011,117
A85012,40
A85013,42
A85014,222
A85016,195
A85017,104
A85018,92
A85019,333
A85020,287
A85021,41
A85023,102
A85024,102
A85026,75
A85611,217
A85614,163
A85616,63
A85617,57
A85620,57
A86003,1346
A86004,720
A86005,442
A86006,433
A86007,147
A86008,591
A86009,1
A86010,593
A86011,674
A86012,240
A86013,266
A86015,4
A86016,639
A86017,382
A86018,811
A86020,684
A86021,332
A86022,444
A86023,571
A86024,489
A86025,413
A86026,235
A86027,238
A86028,253
A86029,919
A86030,651
A86031,298
A86033,375
A86035,31
A86036,490
A86037,178
A86038,179
A86040,224
A86041,373
A86601,302
A87002,434
A87003,372
A87004,2138
A87005,1140
A87006,525
A87007,1480
A87008,585
A87009,1519
A87011,554
A87012,488
A87013,700
A87016,893
A87017,506
A87019,352
A87020,774
A87022,535
A87023,356
A87027,1
A87029,1086
A87030,480
A87600,376
A87612,412
A87615,334
A88001,164
A88002,1125
A88003,1003
A88004,797
A88005,239
A88006,648
A88007,462
A88008,452
A88009,254
A88010,204
A88012,507
A88013,1285
A88014,138
A88015,345
A88016,446
A88022,550
A88023,376
A88025,271
A88601,282
A88608,436
A88613,294
A89001,154
A89002,61
A89004,190
A89005,81
A89006,68
A89007,210
A89008,100
A89009,111
A89010,199
A89011,74
A89012,239
A89013,98
A89015,168
A89016,166
A89017,167
A89018,85
A89019,203
A89020,133
A89021,113
A89022,100
A89023,118
A89024,123
A89025,140
A89026,108
A89027,114
A89028,154
A89030,134
A89031,56
A89032,100
A89034,43
A89035,156
A89036,25
A89040,58
A89041,145
A89614,83
A89616,46
A89617,68
A89618,1
A89623,25
A91020,39
A91021,20
A91022,9
A91023,31
A91024,50
A91025,3
A91026,6
A91027,59
A91028,9
A91029,31
A91030,83
A91031,15
A91032,29
A91033,55
A91036,43
A91037,12
A91038,24
A91039,17
A91040,16
A91041,18
A91042,30
A91044,13
A91045,3
A91048,8
A91049,56
A91052,8
A91053,1
A91056,5
A91057,42
A91058,4
A91060,4
A91061,3
A91063,7
A91064,8
A91065,5
A91067,7
A91068,28
A91071,23
A91072,2
A91075,1
A91076,18
A91077,47
A91078,7
A91079,20
A91080,5
A91084,20
A91085,11
A91087,2
A91090,28
A91092,3
A91094,37
A91096,10
A91097,9
A91098,2
A91100,11
A91103,10
A91104,14
A91105,21
A91106,7
A91108,29
A91109,8
A91112,23
A91113,77
A91114,19
A91117,31
A91118,11
A91120,24
A91121,7
A91122,7
A91123,3
A91124,16
A91125,12
A91129,9
A91130,3
A91131,4
A91132,2
A91133,11
A91134,2
A91135,17
A91136,5
A91137,1
A91139,6
A91151,6
A91152,11
A91155,8
A91156,10
A91157,10
A91166,1
A91169,3
A91171,3
A91173,3
A91175,2
A91177,2
A91178,1
A91179,1
A91180,1
A91181,1
A91194,2
A91200,6
A91201,6
A91203,2
A91215,4
A91216,5
A91218,6
A91219,28
A91220,40
A99920,1
ALD210,4
B81002,45
B81003,337
B81004,405
B81005,355
B81006,1000
B81007,267
B81008,805
B81009,267
B81010,95
B81011,177
B81012,61
B81013,136
B81014,69
B81015,309
B81016,173
B81017,242
B81018,181
B81020,297
B81022,420
B81023,111
B81024,221
B81025,931
B81026,367
B81027,196
B81029,253
B81030,355
B81031,185
B81032,81
B81034,381
B81035,150
B81036,673
B81037,604
B81038,191
B81039,750
B81040,371
B81041,142
B81042,433
B81043,416
B81045,272
B81046,196
B81047,175
B81048,1143
B81051,239
B81052,104
B81054,237
B81055,83
B81058,139
B81060,297
B81061,1018
B81063,165
B81064,221
B81065,294
B81068,387
B81069,830
B81070,359
B81074,136
B81075,113
B81077,276
B81081,1
B81082,158
B81085,101
B81087,163
B81088,184
B81090,99
B81091,74
B81092,536
B81095,108
B81097,50
B81099,283
B81100,110
B81101,569
B81104,70
B81108,74
B81109,307
B81112,184
B81113,206
B81118,225
B81119,164
B81606,76
B81616,53
B81617,174
B81619,87
B81628,75
B81631,83
B81635,91
B81642,84
B81645,75
B81647,77
B81648,53
B81653,226
B81655,35
B81656,110
B81658,23
B81663,42
B81664,20
B81665,44
B81666,37
B81675,181
B81697,24
B82001,1
B82002,410
B82004,220
B82005,1972
B82007,167
B82008,178
B82010,176
B82011,314
B82012,260
B82013,296
B82014,118
B82016,124
B82017,537
B82018,334
B82019,45
B82020,1
B82021,399
B82022,126
B82023,91
B82024,552
B82025,1018
B82026,1730
B82027,293
B82028,11
B82029,50
B82030,111
B82031,363
B82032,230
B82033,562
B82034,94
B82035,56
B82036,169
B82037,839
B82038,1660
B82041,632
B82042,131
B82044,189
B82045,67
B82046,61
B82047,286
B82049,109
B82050,356
B82053,185
B82054,1330
B82057,121
B82059,197
B82060,228
B82061,167
B82062,89
B82063,726
B82064,161
B82066,148
B82067,132
B82068,165
B82069,128
B82071,342
B82072,76
B82073,354
B82074,707
B82075,177
B82076,4
B82077,318
