GP_Practice_Code,CardiOPDNA
A81001,6
A81002,14
A81004,27
A81005,15
A81006,15
A81007,14
A81009,7
A81011,8
A81012,11
A81013,14
A81014,1
A81015,1
A81016,20
A81017,18
A81018,27
A81019,29
A81020,20
A81021,33
A81022,17
A81023,9
A81025,5
A81026,47
A81027,11
A81029,9
A81030,47
A81031,16
A81032,25
A81034,27
A81035,20
A81036,17
A81037,17
A81038,14
A81039,15
A81040,10
A81041,8
A81042,56
A81043,25
A81044,27
A81045,17
A81046,18
A81048,3
A81049,16
A81051,17
A81052,15
A81053,13
A81054,13
A81056,1
A81057,16
A81058,12
A81060,5
A81063,4
A81064,10
A81065,2
A81066,4
A81067,14
A81070,6
A81602,1
A81608,13
A81611,17
A81612,3
A81618,20
A81621,10
A81622,4
A81629,5
A81630,10
A81631,2
A81633,5
A81634,7
A82003,20
A82004,12
A82005,8
A82006,7
A82007,28
A82008,17
A82009,16
A82010,10
A82012,49
A82013,21
A82014,8
A82015,9
A82016,82
A82018,29
A82019,14
A82020,52
A82021,33
A82022,12
A82023,12
A82024,5
A82025,16
A82026,21
A82027,7
A82028,24
A82029,7
A82030,3
A82031,6
A82032,32
A82033,13
A82035,26
A82036,16
A82037,10
A82038,14
A82039,7
A82041,15
A82044,44
A82045,15
A82046,3
A82047,54
A82048,1
A82049,1
A82053,15
A82055,19
A82058,10
A82062,12
A82064,18
A82068,7
A82070,8
A82071,12
A82072,10
A82075,11
A82077,7
A82608,6
A82617,7
A82620,1
A82623,1
A82629,3
A82631,4
A82646,11
A82647,5
A82650,6
A82651,7
A82654,20
A83001,15
A83003,16
A83005,17
A83006,6
A83007,10
A83008,15
A83009,6
A83010,27
A83011,16
A83012,13
A83013,11
A83014,10
A83015,21
A83016,13
A83018,14
A83020,28
A83021,35
A83022,29
A83023,15
A83024,7
A83025,18
A83026,11
A83027,4
A83028,5
A83029,12
A83030,10
A83031,9
A83032,5
A83033,17
A83034,8
A83035,10
A83036,11
A83037,26
A83038,5
A83040,21
A83041,12
A83043,4
A83044,10
A83045,23
A83046,17
A83047,27
A83048,5
A83049,17
A83050,5
A83051,15
A83052,11
A83054,14
A83055,4
A83057,15
A83060,5
A83061,3
A83066,11
A83070,11
A83072,4
A83073,9
A83074,20
A83075,1
A83610,4
A83616,16
A83617,2
A83618,6
A83619,3
A83622,1
A83626,2
A83627,2
A83634,6
A83635,4
A83636,10
A83637,7
A83641,12
A83644,4
A84002,35
A84005,168
A84006,111
A84007,103
A84008,43
A84009,256
A84011,70
A84013,116
A84014,172
A84016,33
A84018,65
A84020,138
A84022,118
A84024,63
A84025,56
A84026,67
A84027,10
A84028,302
A84029,60
A84030,89
A84031,155
A84032,7
A84033,52
A84034,68
A84035,53
A84036,797
A84037,78
A84038,113
A84039,87
A84040,30
A84042,13
A84044,80
A84045,37
A84047,43
A84604,42
A84609,5
A84614,10
A84619,30
A85001,10
A85002,4
A85003,5
A85004,10
A85005,24
A85006,10
A85007,18
A85008,67
A85009,7
A85010,21
A85011,10
A85012,8
A85013,2
A85014,22
A85016,10
A85017,9
A85018,7
A85019,48
A85020,11
A85021,7
A85023,12
A85024,18
A85026,5
A85611,25
A85614,21
A85616,2
A85617,1
A85620,1
A86003,125
A86004,66
A86005,68
A86006,8
A86007,5
A86008,29
A86010,34
A86011,72
A86012,43
A86013,26
A86016,49
A86017,82
A86018,32
A86020,29
A86021,44
A86022,31
A86023,42
A86024,51
A86025,41
A86026,24
A86027,50
A86028,12
A86029,142
A86030,52
A86031,44
A86033,22
A86035,2
A86036,22
A86037,35
A86038,24
A86040,42
A86041,44
A86601,34
A87002,91
A87003,54
A87004,339
A87005,153
A87006,58
A87007,233
A87008,70
A87009,227
A87011,66
A87012,69
A87013,126
A87016,168
A87017,54
A87019,70
A87020,94
A87022,86
A87023,49
A87029,206
A87030,118
A87600,50
A87612,77
A87615,48
A88001,12
A88002,60
A88003,53
A88004,45
A88005,25
A88006,39
A88007,34
A88008,36
A88009,12
A88010,8
A88012,26
A88013,83
A88014,19
A88015,33
A88016,24
A88022,33
A88023,6
A88025,14
A88601,11
A88608,37
A88613,20
A89001,15
A89002,4
A89004,14
A89005,7
A89006,4
A89007,6
A89008,8
A89009,12
A89010,16
A89011,5
A89012,12
A89013,10
A89015,13
A89016,6
A89017,10
A89018,7
A89019,22
A89020,19
A89021,9
A89022,9
A89023,10
A89024,3
A89025,17
A89026,11
A89027,16
A89028,10
A89030,10
A89031,9
A89032,7
A89034,3
A89035,8
A89040,5
A89041,19
A89614,6
A89616,1
A89617,9
A89623,1
A91020,4
A91021,2
A91022,2
A91023,1
A91024,7
A91027,9
A91029,1
A91030,3
A91031,2
A91032,3
A91033,8
A91036,2
A91037,3
A91038,1
A91041,1
A91042,3
A91044,2
A91049,5
A91054,2
A91056,3
A91057,3
A91061,2
A91063,4
A91064,1
A91065,2
A91068,1
A91071,2
A91077,4
A91079,2
A91080,1
A91084,2
A91085,1
A91090,3
A91092,1
A91094,10
A91097,1
A91100,2
A91103,4
A91104,4
A91108,3
A91112,4
A91113,4
A91117,6
A91120,2
A91121,3
A91124,4
A91129,2
A91133,1
A91134,1
A91135,1
A91136,1
A91152,3
A91156,7
A91177,1
A91180,1
A91194,3
A91200,1
A91203,1
A91207,1
A91218,1
A91219,1
A91220,10
A99921,1
B81002,6
B81003,23
B81004,13
B81005,23
B81006,104
B81007,16
B81008,41
B81009,14
B81010,3
B81011,9
B81012,7
B81013,19
B81014,6
B81015,29
B81016,20
B81017,33
B81018,16
B81020,8
B81022,28
B81023,8
B81024,3
B81025,37
B81026,28
B81027,10
B81029,14
B81030,19
B81031,12
B81032,5
B81034,28
B81035,3
B81036,38
B81037,62
B81038,3
B81039,36
B81040,20
B81041,8
B81042,11
B81043,20
B81045,25
B81046,7
B81047,11
B81048,45
B81051,5
B81052,6
B81054,16
B81055,8
B81058,6
B81060,44
B81061,56
B81063,10
B81064,19
B81065,16
B81068,14
B81069,105
B81070,71
B81074,6
B81075,6
B81077,14
B81082,8
B81085,2
B81087,16
B81088,11
B81090,11
B81091,7
B81092,40
B81095,1
B81097,1
B81099,18
B81100,5
B81101,37
B81104,8
B81108,9
B81109,21
B81112,10
B81113,31
B81118,11
B81119,13
B81606,4
B81617,24
B81619,9
B81620,1
B81628,7
B81631,6
B81635,5
B81642,6
B81645,2
B81647,1
B81648,4
B81653,9
B81655,4
B81656,18
B81658,1
B81663,6
B81664,1
B81665,3
B81666,2
B81675,7
B81697,3
B82002,16
B82004,7
B82005,165
B82007,12
B82008,7
B82010,9
B82011,27
B82012,5
B82013,33
B82014,6
B82016,7
B82017,55
B82018,18
B82019,4
B82021,16
B82022,6
B82023,14
B82024,63
B82025,107
B82026,86
B82027,29
B82029,5
B82030,7
B82031,25
B82032,16
B82033,61
B82034,9
B82035,3
B82036,5
B82037,73
B82038,226
B82041,23
B82042,13
B82044,13
B82045,2
B82046,8
B82047,30
B82049,9
B82050,34
B82053,16
B82054,110
B82057,8
B82059,9
B82060,15
B82061,11
B82062,8
B82063,46
B82064,7
B82066,22
B82067,8
B82068,15
B82069,9
B82071,9
B82072,1
B82073,21
B82074,44
B82075,25
B82077,18
B82078,9
B82079,11
B82080,38
B82081,14
B82083,119
B82086,4
B82088,99
B82091,7
B82097,33
B82098,46
B82100,17
B82101,22
B82104,20
B82105,28
B82106,18
B82609,14
B82619,2
B82622,3
B82628,20
B83002,6
B83005,6
B83007,3
B83008,38
B83009,6
B83010,17
B83011,2
B83012,13
B83014,16
B83015,6
B83016,2
B83017,3
B83018,11
B83019,4
B83020,7
B83022,6
B83025,2
B83026,7
B83028,6
B83029,8
B83030,12
B83031,7
B83032,4
B83033,169
B83034,4
B83035,16
B83037,20
B83038,25
B83039,29
B83040,2
B83041,19
B83042,10
B83045,3
B83049,1
B83051,2
B83052,24
B83054,4
B83055,56
B83056,7
B83058,10
B83062,10
B83063,20
B83064,9
B83067,7
B83602,1
B83604,6
B83611,10
B83613,1
B83614,27
B83617,1
B83620,1
B83621,3
B83622,4
B83624,33
B83626,7
B83627,3
B83628,15
B83629,6
B83638,2
B83641,7
B83642,5
B83653,1
B83657,21
B83659,13
B83660,14
B83661,3
B84001,9
B84002,7
B84003,8
B84004,20
B84005,13
B84006,12
B84007,5
B84008,8
B84009,7
B84010,10
B84011,15
B84012,17
B84013,6
B84014,4
B84016,15
B84019,15
B84021,4
B84610,10
B84612,5
B84613,10
B84615,3
B84618,9
B84623,3
B85001,5
B85002,1
B85004,4
B85005,4
B85006,7
B85008,5
B85009,5
B85010,3
B85011,2
B85012,11
B85014,1
B85015,8
B85016,13
B85018,7
B85019,11
B85020,8
B85021,13
B85022,9
B85023,5
B85024,14
B85025,3
B85026,9
B85027,8
B85028,24
B85030,5
B85031,4
B85032,6
B85033,4
B85036,5
B85037,16
B85038,10
B85041,19
B85042,12
B85044,6
B85048,4
B85051,6
B85054,5
B85055,13
B85058,3
B85059,4
B85060,5
B85061,7
B85062,4
B85606,2
B85608,1
B85610,4
B85611,10
B85612,3
B85614,8
B85619,2
B85620,2
B85623,5
B85634,3
B85636,1
B85638,2
B85640,2
B85641,8
B85645,5
B85646,8
B85650,7
B85652,11
B85655,7
B85659,2
B85660,6
B86002,16
B86003,27
B86004,11
B86005,6
B86006,7
B86007,8
B86008,16
B86009,7
B86010,9
B86011,7
B86012,25
B86013,19
B86014,7
B86015,17
B86016,18
B86017,13
B86018,3
B86019,12
B86020,15
B86022,14
B86024,14
B86025,12
B86028,5
B86029,9
B86030,6
B86032,14
B86033,13
B86034,10
B86035,20
B86036,10
B86038,13
B86039,11
B86041,8
B86042,19
B86043,10
B86044,19
B86048,24
B86049,14
B86050,24
B86051,12
B86052,4
B86054,3
B86055,7
B86056,6
B86057,15
B86058,2
B86059,20
B86060,4
B86061,2
B86062,16
B86064,17
B86066,8
B86067,12
B86068,3
B86069,19
B86070,4
B86071,5
B86074,1
B86075,9
B86081,27
B86086,7
B86089,4
B86092,1
B86093,7
B86094,4
B86096,10
B86100,3
B86101,1
B86103,7
B86104,20
B86106,6
B86108,4
B86109,7
B86110,16
B86623,10
B86625,7
B86642,1
B86643,1
B86654,3
B86655,2
B86658,17
B86666,6
B86667,9
B86669,8
B86672,4
B86673,6
B86675,3
B86678,2
B87001,6
B87002,9
B87003,10
B87004,8
B87005,8
B87006,14
B87007,13
B87008,5
B87009,6
B87011,10
B87012,3
B87013,9
B87015,3
B87016,17
B87017,22
B87018,13
B87019,2
B87020,10
B87021,7
B87022,4
B87025,9
B87026,11
B87027,3
B87028,8
B87030,25
B87031,12
B87032,1
B87033,1
B87039,14
B87042,6
B87604,1
C81001,12
C81002,5
C81003,4
C81004,10
C81005,20
C81006,11
C81007,7
C81008,5
C81009,11
C81010,21
C81012,13
C81013,7
C81014,9
C81015,10
C81016,4
C81017,10
C81018,1
C81020,10
C81021,29
C81022,7
C81023,13
C81025,10
C81026,11
C81027,3
C81028,4
C81029,16
C81030,5
C81031,10
C81032,8
C81033,23
C81034,2
C81035,8
C81036,2
C81037,8
C81038,8
C81039,1
C81040,5
C81041,11
C81042,8
C81044,2
C81045,8
C81046,1
C81047,9
C81048,10
C81049,15
C81050,11
C81051,13
C81052,10
C81053,8
C81054,44
C81055,8
C81056,11
C81057,9
C81058,7
C81059,7
C81060,6
C81061,13
C81062,4
C81063,5
C81064,8
C81065,1
C81066,7
C81067,3
C81068,11
C81069,3
C81070,1
C81071,18
C81072,40
C81073,16
C81074,5
C81075,7
C81077,10
C81080,3
C81081,15
C81082,4
C81083,22
C81084,7
C81086,7
C81087,1
C81089,2
C81090,1
C81091,5
C81092,4
C81094,10
C81095,1
C81096,6
C81097,14
C81099,6
C81101,5
C81106,7
C81108,4
C81110,7
C81113,4
C81114,9
C81115,3
C81118,8
C81604,6
C81611,1
C81615,3
C81616,2
C81634,2
C81638,1
C81640,4
C81642,5
C81647,2
C81649,4
C81652,4
C81653,3
C81655,1
C81658,5
C81661,1
C81662,7
C82001,20
C82002,2
C82003,6
C82005,8
C82007,9
C82008,2
C82009,39
C82010,6
C82011,7
C82012,3
C82013,6
C82014,13
C82016,1
C82017,9
C82018,11
