GP_Practice_Code,ElectivePCI
NULL,4
A81001,1
A81002,2
A81003,1
A81004,1
A81005,4
A81006,6
A81009,3
A81011,3
A81012,2
A81013,1
A81014,1
A81016,1
A81017,2
A81018,5
A81019,3
A81020,4
A81021,6
A81022,11
A81023,2
A81026,4
A81027,2
A81029,1
A81030,3
A81031,4
A81032,2
A81034,1
A81035,5
A81036,2
A81037,3
A81038,1
A81039,4
A81040,3
A81041,2
A81042,4
A81043,5
A81044,3
A81046,2
A81048,1
A81049,3
A81051,1
A81052,1
A81053,3
A81056,2
A81057,1
A81058,4
A81060,2
A81063,1
A81065,2
A81067,1
A81602,1
A81608,1
A81610,1
A81611,3
A81618,1
A81621,1
A81622,1
A82003,4
A82004,1
A82005,3
A82006,1
A82007,4
A82008,3
A82009,5
A82010,2
A82012,6
A82013,2
A82015,2
A82016,6
A82018,4
A82019,3
A82020,8
A82021,6
A82022,2
A82024,3
A82025,4
A82026,2
A82029,2
A82030,3
A82032,4
A82033,2
A82035,5
A82036,2
A82037,1
A82038,4
A82039,4
A82041,5
A82044,4
A82045,2
A82046,1
A82047,6
A82053,3
A82055,2
A82058,2
A82064,4
A82068,1
A82070,2
A82075,2
A82077,4
A82629,1
A82631,1
A82646,1
A82647,3
A82650,3
A82651,1
A82654,2
A83001,1
A83003,2
A83005,1
A83006,2
A83007,4
A83009,1
A83010,2
A83011,3
A83012,2
A83014,1
A83015,4
A83016,6
A83018,2
A83020,4
A83021,5
A83022,6
A83023,1
A83024,1
A83025,4
A83026,2
A83027,1
A83028,4
A83029,2
A83030,3
A83031,3
A83033,2
A83034,2
A83035,2
A83037,3
A83040,1
A83041,7
A83044,3
A83045,1
A83046,2
A83047,2
A83049,3
A83051,1
A83052,1
A83054,4
A83055,2
A83057,4
A83061,1
A83066,3
A83070,3
A83071,1
A83072,1
A83073,4
A83075,5
A83610,3
A83616,5
A83618,3
A83619,1
A83627,5
A83632,1
A83636,1
A83637,1
A83641,1
A84002,3
A84005,6
A84006,9
A84007,7
A84008,6
A84009,9
A84011,4
A84013,1
A84016,3
