GP_Practice_Code,ElectiveCABG
A81004,4
A81005,1
A81006,1
A81013,1
A81016,2
A81017,2
A81018,1
A81021,3
A81026,1
A81027,1
A81030,1
A81031,1
A81032,3
A81034,3
A81035,2
A81036,1
A81040,1
A81041,2
A81042,1
A81044,3
A81046,1
A81048,3
A81051,2
A81052,1
A81054,1
A81056,1
A81057,2
A81064,1
A81611,1
A81618,3
A81622,1
A81631,2
A82003,3
A82004,1
A82005,2
A82006,1
A82007,4
A82008,1
A82009,1
A82012,6
A82016,9
A82018,1
A82021,5
A82022,2
A82023,2
A82024,2
A82025,1
A82026,2
A82027,2
A82028,2
A82030,2
A82031,1
A82032,2
A82033,2
A82035,2
A82037,2
A82038,1
A82039,4
A82041,2
A82044,4
A82045,4
A82047,6
A82053,3
A82062,1
A82070,1
A82072,1
A82075,1
A82077,1
A82608,1
A82613,1
A82617,1
A82646,3
A82651,1
A83001,4
A83003,1
A83004,1
A83006,1
A83009,2
A83011,1
A83013,1
A83014,1
A83015,2
A83016,3
A83018,1
A83020,2
A83022,6
A83023,2
A83024,1
A83026,2
A83027,1
A83028,1
A83030,1
A83031,2
A83033,2
A83035,2
A83036,1
A83037,3
A83040,2
A83041,1
A83042,1
A83044,1
A83045,2
A83046,1
A83047,2
A83048,1
A83049,1
A83050,2
A83051,1
A83054,1
A83057,2
A83060,2
A83066,3
A83070,2
A83071,1
A83074,3
A83075,2
A83616,1
A83619,2
A83622,1
A83635,1
A83641,1
A84002,1
A84005,1
A84006,2
A84009,2
A84011,1
A84014,1
A84020,1
A84028,2
A84029,1
A84030,1
A84035,2
A84036,4
A84038,1
A84045,1
A84047,3
A85001,1
A85005,2
A85006,1
A85008,1
A85019,2
A85026,1
A86008,1
A86017,1
A86018,1
A86020,1
A86023,1
A86601,2
A87003,1
A87004,2
A87005,2
A87008,1
A87009,1
A87016,1
A87017,1
A87029,2
A88002,2
A88004,1
A88007,1
A88012,1
A88013,2
A88014,1
A88022,1
A88023,1
A88025,1
A88601,2
A88608,1
A88613,3
A89001,2
A89004,2
A89005,2
A89007,2
A89009,2
A89010,3
A89011,1
A89012,1
A89015,2
A89017,1
A89018,1
A89019,2
A89020,2
A89022,1
A89024,2
A89025,3
A89026,1
A89027,1
A89028,2
A89030,2
A89031,1
A89035,3
A89041,2
A89614,1
A89623,2
A91064,2
ALD210,1
B81002,1
B81003,3
B81004,5
B81005,3
B81006,2
B81007,3
B81008,1
B81009,3
B81010,1
B81011,1
B81012,2
B81013,2
B81015,3
B81016,1
B81017,1
B81018,1
B81020,1
B81022,1
B81024,4
B81025,8
B81026,4
B81027,3
B81029,1
B81030,1
B81031,1
B81035,3
B81036,3
B81037,2
B81038,1
B81039,3
B81041,3
B81042,2
B81043,3
B81045,4
B81046,2
B81047,1
B81048,12
B81051,4
B81052,1
B81054,2
B81055,1
B81058,1
B81061,13
B81064,1
B81069,3
B81070,3
B81074,2
B81075,1
B81077,3
B81082,2
B81087,2
B81088,2
B81090,1
B81092,3
B81099,2
B81100,1
B81101,7
B81108,1
B81109,1
B81112,3
B81113,1
B81118,2
B81606,2
B81617,2
B81628,1
B81647,1
B81656,1
B81658,1
B81675,1
B81697,1
B82002,3
B82004,1
B82005,7
B82008,2
B82010,1
B82011,2
B82012,1
B82016,1
B82017,3
B82018,2
B82022,3
B82024,3
B82025,2
B82026,5
B82027,1
B82031,2
B82032,2
B82033,1
B82034,1
B82037,1
B82038,4
B82041,3
B82042,1
B82044,1
B82046,2
B82049,2
B82050,4
B82053,1
B82054,4
B82059,2
B82060,1
B82061,1
B82063,1
B82064,1
B82066,1
B82068,3
B82072,1
B82073,2
B82074,2
B82078,1
B82080,3
B82081,1
B82083,7
B82088,3
B82097,1
B82098,5
B82100,1
B82101,1
B82104,1
B82106,1
B82609,2
B82619,1
B82628,1
B83005,1
B83006,1
B83008,2
B83012,1
B83019,1
B83022,3
B83028,1
B83029,1
B83030,3
B83031,1
B83033,13
B83037,1
B83038,2
B83039,1
B83045,1
B83055,1
B83056,1
B83064,2
B83067,1
B83602,1
B83604,1
B83611,1
B83622,2
B83626,1
B83642,1
B83660,1
B84004,1
B84005,1
B84006,2
B84007,1
B84008,4
B84009,3
B84011,2
B84012,3
B84013,1
B84014,1
B84019,2
B84613,2
B84618,1
B85001,1
B85006,3
B85009,1
B85012,1
B85015,1
B85018,2
B85019,2
B85022,1
B85024,2
B85031,2
B85032,1
B85037,1
B85051,1
B85054,2
B85059,2
B85060,1
B85061,2
B85610,2
B85611,1
B85646,1
B85652,1
B85660,1
B86001,1
B86003,1
B86004,4
B86005,1
B86006,1
B86008,3
B86009,1
B86011,2
B86012,2
B86013,2
B86014,1
B86015,1
B86016,2
B86017,1
B86018,1
B86019,1
B86025,1
B86032,2
B86033,1
B86036,4
B86041,2
B86042,1
