GP_Practice_Code,NumberCHDEmergAdmits
NULL,84
A81001,8
A81002,85
A81003,3
A81004,20
A81005,24
A81006,73
A81007,42
A81009,14
A81011,43
A81012,10
A81013,18
A81014,17
A81016,19
A81017,56
A81018,25
A81019,15
A81020,26
A81021,43
A81022,23
A81023,10
A81025,22
A81026,38
A81027,33
A81029,11
A81030,41
A81031,53
A81032,37
A81034,68
A81035,31
A81036,79
A81037,13
A81038,9
A81039,41
A81040,37
A81041,18
A81042,46
A81043,34
A81044,64
A81045,13
A81046,72
A81048,20
A81049,16
A81051,19
A81052,22
A81053,12
A81054,21
A81056,6
A81057,41
A81058,17
A81060,22
A81063,12
A81064,5
A81065,12
A81066,16
A81067,39
A81070,14
A81602,8
A81605,1
A81608,19
A81610,21
A81611,11
A81612,21
A81618,21
A81621,7
A81622,26
A81629,23
A81630,2
A81631,17
A81634,3
A82003,32
A82004,7
A82005,10
A82006,14
A82007,39
A82008,32
A82009,33
A82010,16
A82012,68
A82013,30
A82014,22
A82015,16
A82016,122
A82018,39
A82019,20
A82020,44
A82021,69
A82022,20
A82023,37
A82024,23
A82025,33
A82026,43
A82027,26
A82028,13
A82029,13
A82030,15
A82031,13
A82032,62
A82033,42
A82035,36
A82036,33
A82037,13
A82038,15
A82039,25
A82041,45
A82044,97
A82045,27
A82046,8
A82047,110
A82048,4
A82049,4
A82050,6
A82053,29
A82055,37
A82058,22
A82062,10
A82064,25
A82068,9
A82070,17
A82071,23
A82072,29
A82075,40
A82077,17
A82607,1
A82608,12
A82613,6
A82617,9
A82623,2
A82629,10
A82631,13
A82641,1
A82645,1
A82646,19
A82647,20
A82649,1
A82650,4
A82651,12
A82654,19
A83001,35
A83003,26
A83005,39
A83006,23
A83007,53
A83008,17
A83009,27
A83010,26
A83011,39
A83012,56
A83013,25
A83014,19
A83015,28
A83016,38
A83018,53
A83019,2
A83020,53
A83021,57
A83022,75
A83023,35
A83024,15
A83025,54
A83026,41
A83027,20
A83028,32
A83029,14
A83030,29
A83031,50
A83032,9
A83033,28
A83034,33
A83035,19
A83036,37
A83037,53
A83038,16
A83040,30
A83041,12
A83042,5
A83043,8
A83044,23
A83045,52
A83046,31
A83047,53
A83048,12
A83049,35
A83050,33
A83051,30
A83052,27
A83054,64
A83055,9
A83057,58
A83060,17
A83061,12
A83066,41
A83070,22
A83071,16
A83072,11
A83073,18
A83074,31
A83075,35
A83610,6
A83616,23
A83617,11
A83618,14
A83619,14
A83622,2
A83626,8
A83627,18
A83632,2
A83634,17
A83635,2
A83636,18
A83637,11
A83641,12
A83644,12
A84002,16
A84005,31
A84006,72
A84007,28
A84008,14
A84009,102
A84011,6
A84013,23
A84014,52
A84016,14
A84018,18
A84020,37
A84022,56
A84024,14
A84025,10
A84026,33
A84027,13
A84028,79
A84029,21
A84030,31
A84031,34
A84032,3
A84033,12
A84034,22
A84035,11
A84036,177
A84037,20
A84038,34
A84039,10
A84040,11
A84042,3
A84044,17
A84045,9
A84047,7
A84048,1
A84604,10
A84609,1
A84614,4
A84619,13
A85001,14
A85002,15
A85003,16
A85004,23
A85005,41
A85006,16
A85007,14
A85008,52
A85009,11
A85010,28
A85011,24
A85012,3
A85013,12
A85014,21
A85016,29
A85017,9
A85018,19
A85019,22
A85020,41
A85021,7
A85023,16
A85024,6
A85026,12
A85611,16
A85614,9
A85616,13
A85617,15
A85620,8
A86003,27
A86004,28
A86005,15
A86006,10
A86007,4
A86008,20
A86010,10
A86011,33
A86012,18
A86013,14
A86016,15
A86017,28
A86018,22
A86020,10
A86021,12
A86022,12
A86023,13
A86024,14
A86025,29
