GP_Practice_Code,NumberCHDDeaths
NULL,1
A81002,4
A81005,1
A81006,1
A81007,1
A81009,1
A81013,2
A81017,1
A81018,1
A81020,1
A81021,2
A81022,1
A81026,2
A81027,4
A81030,1
A81032,2
A81034,2
A81035,1
A81036,3
A81037,2
A81038,1
A81039,1
A81042,2
A81043,2
A81044,4
A81046,1
A81048,2
A81049,1
A81051,1
A81053,1
A81060,1
A81065,1
A81070,1
A81610,1
A81621,1
A81629,1
A82003,2
A82005,1
A82006,2
A82007,4
A82009,2
A82010,2
A82012,4
A82013,2
A82015,1
A82016,5
A82018,5
A82020,2
A82021,4
A82025,2
A82026,2
A82027,1
A82032,3
A82033,1
A82035,1
A82036,1
A82039,2
A82041,2
A82044,3
A82045,2
A82047,2
A82064,3
A82068,1
A82070,1
A82072,2
A82075,1
A82617,1
A82629,1
A83001,1
A83005,3
A83009,1
A83010,3
A83011,2
A83012,2
A83013,1
A83015,1
A83016,5
A83018,2
A83021,6
A83022,3
A83023,1
A83025,2
A83026,3
A83027,1
A83030,2
A83032,1
A83036,2
A83037,1
A83040,1
A83044,1
A83045,1
A83046,1
A83047,1
A83049,3
A83050,1
A83054,1
A83057,2
A83060,1
A83066,1
A83070,2
A83071,1
A83074,1
A83618,1
A83619,1
A83627,1
A83635,1
A83641,1
A84002,2
A84006,1
A84007,2
A84009,2
A84013,1
A84014,2
A84016,2
A84018,1
A84022,2
A84026,1
A84028,3
A84029,1
A84030,2
A84031,3
A84032,1
A84033,1
A84034,1
A84036,4
A84037,1
A84038,2
A84044,1
A84619,2
A85001,1
A85004,1
A85005,2
A85006,2
A85008,3
A85010,1
A85013,1
A85014,2
A85016,2
A85019,4
A85020,3
A85616,1
A85620,1
A86005,2
A86008,3
A86011,2
A86017,2
A86020,1
A86021,1
A86022,2
A86023,2
A86024,2
A86026,2
A86028,1
A86029,1
A86030,3
A86031,3
A86036,1
A86041,1
A87003,2
A87004,8
A87005,2
A87006,2
A87007,3
A87009,5
A87011,1
A87012,2
A87013,1
A87016,1
A87020,1
A87022,2
A87023,1
A87029,5
A87600,1
A88002,5
A88003,2
A88010,2
A88012,1
A88013,4
A88015,2
A88023,1
A88025,3
A88601,1
A88613,2
A89002,3
A89004,2
A89006,1
A89007,1
A89009,2
A89012,2
A89013,1
A89015,3
A89016,1
A89017,1
A89019,3
A89020,2
A89021,3
A89022,2
A89023,1
A89024,1
A89025,2
A89026,2
A89027,1
A89028,2
A89032,2
A89035,2
A89040,1
A89614,2
A91085,1
B81003,3
B81005,2
B81006,2
