GP_PRACTICE_CODE,Deaths
P87002,11
N81108,10
M83129,14
H83028,3
N81626,6
L82012,24
M84007,27
Y01794,14
H82037,19
L85017,11
A89010,12
W98027,9
D81014,26
D81630,8
B82012,15
L81643,16
C84692,6
A82629,6
W94032,12
C81113,5
B87011,13
J82663,4
F82650,1
H82084,3
D82022,16
A88007,10
A83014,9
L85006,10
M92012,11
E84051,7
P83001,16
P92041,14
J83034,10
P81071,8
C82034,8
W94009,5
E85685,9
D83049,9
J82058,13
J82119,11
G82035,10
G83641,1
B83022,10
E87002,4
H82046,11
M88022,5
E86029,11
N82669,5
Y07275,2
P84024,8
Y00186,2
M92014,5
N85620,10
M83122,5
F82028,4
J82164,3
M82031,2
K83055,3
H81022,6
P84669,2
E85004,7
E85038,1
H85077,1
J81010,16
L83095,21
C85008,20
N81114,15
B85646,9
L83056,14
C81081,21
A88004,8
B86035,8
C81050,17
E84018,7
W00065,8
D82058,33
L85032,3
F85030,15
F81212,16
M84022,6
N81070,13
M86016,12
F81024,9
M86028,3
K83006,14
D83064,3
W93039,6
N84014,2
N82059,2
A82047,47
A85018,8
L82622,10
C88043,10
Y01008,92
P82031,11
N81607,4
K82040,14
D83011,21
W91629,10
W94007,21
C81008,16
H82048,21
M89026,12
M84016,4
A83015,9
C84064,9
H84027,9
C84035,19
Y02886,1
C88086,4
N85009,3
P84012,13
G82697,5
P87648,2
B87012,7
E83032,7
P82034,5
W98048,4
M82009,16
H82091,7
D82042,6
W00007,8
K82055,10
C82046,22
H82032,15
A82608,5
E82046,10
F81656,4
C84011,10
A82064,5
G83047,7
A88009,7
F84055,1
E86028,5
Y02676,3
D83018,9
Y00049,1
E81056,1
W92005,7
G85038,19
B84021,5
P81059,14
P87634,10
F82030,11
C81074,10
H84033,5
G84032,5
M88015,8
P83015,10
Y07059,17
J84016,10
W93018,9
H84030,12
E82041,2
H85063,4
C82093,9
Y02332,4
M84063,3
E87753,3
M85779,2
M83661,6
P81029,29
M84010,14
K81024,23
D82029,13
C88084,5
J81061,14
W92053,8
P92003,11
K83030,6
J82120,12
W93125,2
C82659,5
P81074,17
F82013,6
G82721,5
P91026,5
L83106,13
E85715,1
K84012,6
N81085,13
F83060,7
M87617,3
H83015,8
W93045,14
F81725,11
G82100,12
L81023,6
L81123,6
G84009,6
E83018,12
M85086,3
G81087,7
B86041,6
J82089,11
A83032,5
P83005,9
W91036,9
M81069,18
H85037,8
B86042,12
B83067,12
M82005,14
C82631,7
F84666,2
N83018,8
D81042,3
B85030,13
C81089,3
A83636,9
P84004,7
C88034,8
G82684,2
Y05622,2
M86610,2
J83041,13
B82024,13
C82102,4
W95008,15
C83059,25
A84018,9
M85146,4
N81030,15
W96015,18
L81033,7
M82058,9
W91028,14
C82088,13
M86046,4
N85059,9
H82016,19
B82037,13
M86034,14
A86037,7
J81066,9
L83072,8
M81082,14
A82062,8
A83048,5
